ID|NAME|COLOUR|GENDER_RECOMMENDATION|SIZE|PRICE|RATING|AVAILABILITY
ADC14536258MP|Adidas Men Purple Slim Fit Aeroready|Purple|M|M|1199.00|3.8|Y
ADC23627167MM|Adidas Solid Freelift Tennis T-shirt|Maroon|U|M|2000.00|3.1|Y
ADC23627167LB|Adidas Solid Freelift Tennis T-shirt|Black|U|L|2100.00|3.5|N
ADC13242545LY|Adidas Designed2Move T|Yellow|M|L|3000.00|3.8|Y
ADC76537883SB|Adidas Printed Win 2.0 Tee|Blue|F|S|1799.00|4.2|Y
ADC23627167LB|Adidas Solid Freelift Tennis T-shirt|Black|U|L|2100.00|3.5|N
ADC23627167LC|Adidas Solid Freelift Tennis T-shirt|Black|M|L|2200.00|3.5|Y
ADC23627167LD|Adidas Solid Freelift Tennis T-shirt|Black|U|L|2100.00|3.5|N
ADC23627167LE|Adidas Solid Freelift Tennis T-shirt|Black|M|M|2100.00|3.5|N
ADC23627167LF|Adidas Solid Freelift Tennis T-shirt|Black|M|L|2190.00|3.5|Y